HSCode,Commodity,Year_2022_2023,Share_Percentage_22_23,Year_2023_2024,Share_Percentage_23_24
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","136,830.52",0.0378,"9,018.93",0.031
52,COTTON.,"5,614,548.90",1.5513,"451,474.76",1.5527
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,"391,851.53",0.1083,"41,304.32",0.142
54,MAN-MADE FILAMENTS.,"1,457,640.87",0.4027,"115,851.96",0.3984
55,MAN-MADE STAPLE FIBRES.,"1,356,920.97",0.3749,"112,544.66",0.3871
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.","476,032.55",0.1315,"40,874.25",0.1406
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"1,553,046.77",0.4291,"127,762.83",0.4394
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,"297,978.19",0.0823,"24,099.39",0.0829
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.","396,928.62",0.1097,"33,555.59",0.1154
60,KNITTED OR CROCHETED FABRICS.,"390,925.06",0.108,"35,993.68",0.1238
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","5,579,809.79",1.5417,"445,654.99",1.5327
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.","6,461,282.42",1.7852,"555,641.41",1.9109
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"4,625,032.95",1.2779,"371,737.82",1.2784
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","2,060,833.23",0.5694,"141,482.72",0.4866
65,HEADGEAR AND PARTS THEREOF.,"79,650.10",0.022,"5,044.32",0.0173
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.","3,745.40",0.001,457.1,0.0016
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,"486,709.41",0.1345,"37,939.57",0.1305
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.","1,715,514.03",0.474,"142,884.32",0.4914
69,CERAMIC PRODUCTS.,"2,523,620.94",0.6973,"202,103.35",0.6951
70,GLASS AND GLASSWARE.,"914,528.34",0.2527,"73,977.45",0.2544
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","27,209,729.13",7.518,"1,892,253.62",6.5077
72,IRON AND STEEL,"9,811,777.34",2.711,"703,775.95",2.4204
73,ARTICLES OF IRON OR STEEL,"8,229,052.44",2.2737,"612,302.16",2.1058
74,COPPER AND ARTICLES THEREOF.,"1,917,237.04",0.5297,"94,426.83",0.3247
75,NICKEL AND ARTICLES THEREOF.,"136,679.04",0.0378,"10,917.24",0.0375
76,ALUMINIUM AND ARTICLES THEREOF.,"6,334,654.30",1.7502,"439,947.45",1.513
78,LEAD AND ARTICLES THEREOF.,"647,005.75",0.1788,"52,659.65",0.1811
79,ZINC AND ARTICLES THEREOF.,"601,774.25",0.1663,"55,591.44",0.1912
80,TIN AND ARTICLES THEREOF.,"13,746.31",0.0038,"1,147.38",0.0039
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"83,903.45",0.0232,"7,282.89",0.025
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.","873,900.34",0.2415,"73,294.61",0.2521
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"730,132.76",0.2017,"57,575.00",0.198
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","24,886,594.84",6.8761,"2,115,537.67",7.2756
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","28,497,039.16",7.8737,"2,514,147.32",8.6464
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL","260,991.29",0.0721,"25,990.44",0.0894
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.","17,294,539.38",4.7784,"1,369,712.52",4.7106
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","2,690,956.06",0.7435,"234,109.84",0.8051
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","3,359,479.71",0.9282,"221,150.13",0.7606
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;","4,131,415.59",1.1415,"306,661.39",1.0546
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"76,241.95",0.0211,"3,628.52",0.0125
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,"37,537.27",0.0104,"3,123.46",0.0107
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,"286,368.96",0.0791,"102,712.92",0.3532
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC","2,001,146.60",0.5529,"156,465.19",0.5381
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","432,954.15",0.1196,"28,483.50",0.098
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"598,767.01",0.1654,"49,915.87",0.1717
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,"279,345.11",0.0772,"5,754.47",0.0198
98,PROJECT GOODS; SOME SPECIAL USES.,"20,532.21",0.0057,"1,461.14",0.005
99,MISCELLANEOUS GOODS.,"77,755.41",0.0215,"14,259.79",0.049
10129,OTHER HORSES EXCL FOR PURE BREED BREEDING,7.86,0,23.14,0.0001
10190,"LIVE HORSES,ASSES,MULES AND HINNIES OTHER",0.1,0,0,0
